iso_time,elapsed_s,training_id,event,label,hw_mode,lat,lng,yaw_deg,gps_fix,gps_ready,ref_mode,ref_path_len,ref_segment_idx,ref_progress_m,ref_cross_track_m,ref_along_segment_m,ref_segment_len_m,ref_heading_deg,ref_heading_error_deg,ref_dist_to_start_m,ref_dist_to_end_m,lidar_min_front_m,lidar_obstacle,pwm_l,pwm_r,enc_l,enc_r,wheel_speed_l_kph,wheel_speed_r_kph,wheel_speed_avg_kph,battery_soc_pct,battery_voltage_v,battery_current_a,battery_temp_c,battery_status,wp_idx,path_len,target_lat,target_lng,dist_to_target_m,gps_step_m,gps_speed_mps,gps_jump_flag,speed_valid,battery_valid,row_quality,quality_flags
2026-06-17T15:50:45.386,0.172,training_20260617_155045_line,SAMPLE,uturn,0,13.341752052307129,101.0213394165039,55.072607579756536,4,True,LINE,3,1,10.349765270829621,-0.17318399024857564,8.063299580848911,8.063299580848911,68.62937772656517,-13.556770146808617,8.103486758770286,0.17737635052902784,-1.0,1,0,0,62752,-24,0.0,0.0,0.0,80,26.100000381469727,-1.5,41.0,0,0,3,13.34170913696289,101.02128601074219,7.493931997599313,,,0,1,1,GOOD,
2026-06-17T15:50:45.598,0.384,training_20260617_155045_line,SAMPLE,uturn,0,13.341752052307129,101.0213394165039,55.01557891528151,4,True,LINE,3,1,10.349765270829621,-0.17318399024857564,8.063299580848911,8.063299580848911,68.62937772656517,-13.613798811283658,8.103486758770286,0.17737635052902784,-1.0,1,0,0,62752,-24,0.0,0.0,0.0,80,26.100000381469727,-1.5,41.0,0,0,3,13.34170913696289,101.02128601074219,7.493931997599313,0.0,0.0,0,1,1,GOOD,
2026-06-17T15:50:45.800,0.586,training_20260617_155045_line,SAMPLE,uturn,0,13.341752052307129,101.0213394165039,54.96468034558658,4,True,LINE,3,1,10.349765270829621,-0.17318399024857564,8.063299580848911,8.063299580848911,68.62937772656517,-13.664697380978595,8.103486758770286,0.17737635052902784,1.7269999980926514,1,0,0,62752,-24,0.0,0.0,0.0,80,26.100000381469727,-1.7000000476837158,41.0,0,0,3,13.34170913696289,101.02128601074219,7.493931997599313,0.0,0.0,0,1,1,GOOD,
2026-06-17T15:50:46.201,0.986,training_20260617_155045_line,SAMPLE,uturn,0,13.341752052307129,101.0213394165039,54.908642058541204,4,True,LINE,3,1,10.349765270829621,-0.17318399024857564,8.063299580848911,8.063299580848911,68.62937772656517,-13.720735668023963,8.103486758770286,0.17737635052902784,-1.0,1,0,0,62752,-24,0.0,0.0,0.0,80,26.100000381469727,-1.7000000476837158,41.0,0,0,3,13.34170913696289,101.02128601074219,7.493931997599313,0.0,0.0,0,1,1,GOOD,
2026-06-17T15:50:46.404,1.19,training_20260617_155045_line,SAMPLE,uturn,0,13.341752052307129,101.0213394165039,54.86194405518583,4,True,LINE,3,1,10.349765270829621,-0.17318399024857564,8.063299580848911,8.063299580848911,68.62937772656517,-13.767433671379337,8.103486758770286,0.17737635052902784,-1.0,1,0,0,62752,-24,0.0,0.0,0.0,80,26.100000381469727,-1.7000000476837158,41.0,0,0,3,13.34170913696289,101.02128601074219,7.493931997599313,0.0,0.0,0,1,1,GOOD,
2026-06-17T15:50:46.606,1.391,training_20260617_155045_line,SAMPLE,uturn,0,13.341752052307129,101.0213394165039,54.80928329668503,4,True,LINE,3,1,10.349765270829621,-0.17318399024857564,8.063299580848911,8.063299580848911,68.62937772656517,-13.820094429880129,8.103486758770286,0.17737635052902784,-1.0,1,0,0,62752,-24,0.0,0.0,0.0,80,26.100000381469727,-1.7000000476837158,41.0,0,0,3,13.34170913696289,101.02128601074219,7.493931997599313,0.0,0.0,0,1,1,GOOD,
2026-06-17T15:50:46.809,1.594,training_20260617_155045_line,SAMPLE,uturn,0,13.341752052307129,101.0213394165039,54.7593853497035,4,True,LINE,3,1,10.349765270829621,-0.17318399024857564,8.063299580848911,8.063299580848911,68.62937772656517,-13.86999237686166,8.103486758770286,0.17737635052902784,-1.0,1,0,0,62752,-24,0.0,0.0,0.0,80,26.100000381469727,-1.7000000476837158,41.0,0,0,3,13.34170913696289,101.02128601074219,7.493931997599313,0.0,0.0,0,1,1,GOOD,
2026-06-17T15:50:47.212,1.998,training_20260617_155045_line,SAMPLE,uturn,0,13.341752052307129,101.0213394165039,54.71070659148882,4,True,LINE,3,1,10.349765270829621,-0.17318399024857564,8.063299580848911,8.063299580848911,68.62937772656517,-13.918671135076352,8.103486758770286,0.17737635052902784,1.7304999828338623,1,0,0,62752,-24,0.0,0.0,0.0,80,26.100000381469727,-1.600000023841858,41.0,0,0,3,13.34170913696289,101.02128601074219,7.493931997599313,0.0,0.0,0,1,1,GOOD,
2026-06-17T15:50:47.413,2.198,training_20260617_155045_line,SAMPLE,uturn,0,13.341752052307129,101.0213394165039,54.66775836198778,4,True,LINE,3,1,10.349765270829621,-0.17318399024857564,8.063299580848911,8.063299580848911,68.62937772656517,-13.961619364577388,8.103486758770286,0.17737635052902784,-1.0,1,0,0,62752,-24,0.0,0.0,0.0,80,26.100000381469727,-1.600000023841858,41.0,0,0,3,13.34170913696289,101.02128601074219,7.493931997599313,0.0,0.0,0,1,1,GOOD,
2026-06-17T15:50:47.813,2.598,training_20260617_155045_line,SAMPLE,uturn,0,13.341751098632812,101.0213394165039,54.56917824169699,4,True,LINE,3,1,10.34945937502123,-0.07443151239573739,8.062993685040517,8.063299580848911,68.62937772656517,-14.060199484868178,8.063337225680245,0.07443213685934795,-1.0,1,0,0,62752,-24,0.0,0.0,0.0,80,26.100000381469727,-1.7999999523162842,41.0,0,0,3,13.34170913696289,101.02128601074219,7.426855818789705,0.106,0.265,0,1,1,GOOD,
